"sensor","value","time","id"
"HUMB",53.00,"2020-03-09 10:38:13",544206
"TCB",9.10,"2020-03-09 10:38:13",544208
"HUMB",54.00,"2020-03-10 10:08:14",545898
"HUMB",52.00,"2020-03-09 10:53:14",544224
"TCB",9.90,"2020-03-09 10:53:14",544226
"HUMB",69.00,"2020-03-10 09:23:13",545844
"TCB",10.30,"2020-03-10 09:23:13",545846
"TCB",13.90,"2020-03-10 10:08:14",545900
"HUMB",62.00,"2020-03-10 09:38:13",545862
"TCB",10.60,"2020-03-10 09:38:13",545864
"HUMB",59.00,"2020-03-10 10:23:13",545916
"HUMB",62.00,"2020-03-10 09:53:13",545880
"TCB",11.70,"2020-03-10 09:53:13",545882
"TCB",11.30,"2020-03-10 10:23:13",545918
"HUMB",49.00,"2020-03-10 10:38:13",545934
"TCB",14.80,"2020-03-10 10:38:13",545936
"HUMB",53.00,"2020-03-10 10:53:13",545952
"TCB",12.80,"2020-03-10 10:53:13",545954
"HUMB",76.00,"2020-03-11 10:38:14",547653
"HUMB",84.00,"2020-03-11 09:08:13",547545
"TCB",12.60,"2020-03-11 09:08:13",547547
"HUMB",79.00,"2020-03-11 09:23:13",547563
"TCB",13.10,"2020-03-11 09:23:13",547565
"TCB",12.90,"2020-03-11 10:38:14",547655
"HUMB",72.00,"2020-03-11 09:38:14",547581
"TCB",13.50,"2020-03-11 09:38:14",547583
"HUMB",74.00,"2020-03-11 09:53:13",547599
"TCB",13.90,"2020-03-11 09:53:13",547601
"HUMB",75.00,"2020-03-11 10:08:14",547617
"TCB",13.20,"2020-03-11 10:08:14",547619
"HUMB",79.00,"2020-03-11 10:23:14",547635
"TCB",13.20,"2020-03-11 10:23:14",547637
"HUMB",75.00,"2020-03-11 10:53:13",547671
"TCB",13.10,"2020-03-11 10:53:13",547673
"HUMB",70.00,"2020-03-12 09:23:14",549039
"HUMB",57.00,"2020-03-12 10:08:14",549093
"TCB",17.60,"2020-03-12 10:08:14",549095
"HUMB",58.00,"2020-03-12 10:23:13",549102
"TCB",16.70,"2020-03-12 10:23:13",549104
"HUMB",52.00,"2020-03-12 10:53:13",549129
"TCB",18.10,"2020-03-12 10:53:13",549131
"TCB",14.10,"2020-03-12 09:23:14",549041
"HUMB",68.00,"2020-03-12 09:38:13",549057
"TCB",14.70,"2020-03-12 09:38:13",549059
"HUMB",63.00,"2020-03-12 09:53:13",549075
"TCB",15.70,"2020-03-12 09:53:13",549077
"HUMB",52.00,"2020-03-13 09:23:13",550947
"TCB",10.80,"2020-03-13 09:23:13",550949
"HUMB",47.00,"2020-03-13 09:38:13",550965
"TCB",11.90,"2020-03-13 09:38:13",550967
"HUMB",42.00,"2020-03-14 09:08:13",557009
"HUMB",40.00,"2020-03-13 09:53:14",555137
"TCB",12.60,"2020-03-13 09:53:14",555139
"HUMB",39.00,"2020-03-13 10:23:14",555171
"TCB",12.90,"2020-03-13 10:23:14",555173
"HUMB",39.00,"2020-03-13 10:38:13",555189
"TCB",13.60,"2020-03-13 10:38:13",555191
"HUMB",40.00,"2020-03-13 10:53:14",555207
"TCB",13.70,"2020-03-13 10:53:14",555209
"TCB",8.40,"2020-03-14 09:08:13",557011
"HUMB",43.00,"2020-03-14 09:23:14",557027
"TCB",10.40,"2020-03-14 09:23:14",557029
"HUMB",42.00,"2020-03-14 09:38:13",557045
"TCB",10.30,"2020-03-14 09:38:13",557047
"HUMB",42.00,"2020-03-14 09:53:14",557063
"TCB",10.40,"2020-03-14 09:53:14",557065
"HUMB",40.00,"2020-03-14 10:08:14",557081
"HUMB",40.00,"2020-03-14 10:38:13",557108
"TCB",11.20,"2020-03-14 10:38:13",557110
"TCB",9.60,"2020-03-14 10:08:14",557083
"HUMB",38.00,"2020-03-14 10:23:14",557090
"HUMB",35.00,"2020-03-14 10:53:14",557126
"TCB",11.30,"2020-03-14 10:53:14",557128
"TCB",10.50,"2020-03-14 10:23:14",557092
"HUMB",35.00,"2020-03-15 10:38:14",559996
"HUMB",40.00,"2020-03-15 09:08:14",559897
"TCB",7.50,"2020-03-15 09:08:14",559899
"TCB",9.20,"2020-03-15 10:38:14",559998
"HUMB",39.00,"2020-03-16 09:08:14",561607
"HUMB",39.00,"2020-03-15 09:38:14",559924
"TCB",7.10,"2020-03-15 09:38:14",559926
"HUMB",38.00,"2020-03-15 09:53:14",559942
"TCB",7.60,"2020-03-15 09:53:14",559944
"HUMB",37.00,"2020-03-15 10:08:14",559960
"TCB",7.80,"2020-03-15 10:08:14",559962
"HUMB",36.00,"2020-03-15 10:23:13",559978
"TCB",8.30,"2020-03-15 10:23:13",559980
"HUMB",41.00,"2020-03-16 09:23:13",561625
"TCB",10.10,"2020-03-16 09:23:13",561627
"HUMB",42.00,"2020-03-16 09:38:14",561643
"TCB",10.60,"2020-03-16 09:38:14",561645
"HUMB",44.00,"2020-03-16 09:53:13",561661
"TCB",10.80,"2020-03-16 09:53:13",561663
"HUMB",42.00,"2020-03-16 10:08:14",561679
"TCB",11.30,"2020-03-16 10:08:14",561681
"HUMB",40.00,"2020-03-16 10:23:13",561697
"TCB",12.20,"2020-03-16 10:23:13",561699
"HUMB",40.00,"2020-03-16 10:38:14",561715
"TCB",12.80,"2020-03-16 10:38:14",561717
"TCB",10.10,"2020-03-16 09:08:14",561609
"HUMB",55.00,"2020-03-18 09:08:13",565090
"HUMB",39.00,"2020-03-16 10:53:13",561733
"TCB",12.90,"2020-03-16 10:53:13",561735
"HUMB",47.00,"2020-03-17 09:23:14",563389
"TCB",10.80,"2020-03-17 09:23:14",563391
"HUMB",46.00,"2020-03-17 09:38:13",563407
"TCB",11.60,"2020-03-17 09:38:13",563409
"HUMB",44.00,"2020-03-17 09:53:14",563425
"TCB",12.60,"2020-03-17 09:53:14",563427
"HUMB",43.00,"2020-03-17 10:08:13",563443
"TCB",12.80,"2020-03-17 10:08:13",563445
"HUMB",39.00,"2020-03-17 10:23:14",563461
"TCB",14.20,"2020-03-17 10:23:14",563463
"HUMB",41.00,"2020-03-17 10:38:13",563470
"TCB",14.40,"2020-03-17 10:38:13",563472
"HUMB",41.00,"2020-03-17 10:53:14",563479
"TCB",15.50,"2020-03-17 10:53:14",563481
"HUMB",57.00,"2020-03-18 09:38:13",565126
"TCB",14.50,"2020-03-18 09:38:13",565128
"HUMB",56.00,"2020-03-18 09:53:14",565144
"TCB",14.50,"2020-03-18 09:53:14",565146
"HUMB",53.00,"2020-03-18 10:08:14",565162
"TCB",15.70,"2020-03-18 10:08:14",565164
"HUMB",53.00,"2020-03-18 10:23:13",565180
"TCB",16.50,"2020-03-18 10:23:13",565182
"HUMB",44.00,"2020-03-18 10:38:14",565198
"TCB",18.90,"2020-03-18 10:38:14",565200
"HUMB",44.00,"2020-03-18 10:53:14",565216
"TCB",19.10,"2020-03-18 10:53:14",565218
"TCB",14.50,"2020-03-18 09:08:13",565092
"HUMB",56.00,"2020-03-18 09:23:14",565108
"TCB",14.40,"2020-03-18 09:23:14",565110
"HUMB",46.00,"2020-03-19 09:38:14",566836
"TCB",17.80,"2020-03-19 09:38:14",566838
"HUMB",43.00,"2020-03-19 09:53:13",566845
"HUMB",49.00,"2020-03-19 09:23:13",566818
"TCB",18.20,"2020-03-19 09:53:13",566847
